parentTag,tagName,setpointA,shelvingAllowed,ackMode,name,message Number,priority,displayPath,label,bindType,value,Debug Prompt
GvVanityCase,bHallsSpeed,1,FALSE,Unused,FAB_2105,05,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Hall Sensor Speed - Check Encoder Cable"")",Check encoder cables.  Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.
GvSys,bDrivePowerLoss,1,FALSE,Unused,FAB_006,06,High,FAB2900,FAB 24V DC Servo Power Supply Not OK,,,Check the power supply unit for fault lights.  Verify power input and power output cables.  Restart the SSC.
GvVanityCase,bSpeedTracking,1,FALSE,Unused,FAB_2106,06,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Speed Tracking Drive - Check mechanical linkages, wiring"")",Check encoder cables.  Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.
GvSys,bPlcFault,1,FALSE,Unused,FAB_007,07,High,FAB2900,PLC Offline,,,"The PLC has not initialized properly.  Cycle the power on the SSC.  If it persists, delete the file C:\TwinCAT\3.1\Boot\Plc\Port_851.bootdata-old and cycle the power on the PLC."
GvVanityCase,bSpeedTrackingPLC,1,FALSE,Unused,FAB_2107,07,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Speed Tracking PLC -Check mechanical linkages, wiring"")",Check encoder cables.  Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.
GvVanityCase,bPositionTracking,1,FALSE,Unused,FAB_2108,08,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Position Tracking Drive - Check mechanical linkages, wiring"")",Check encoder cables.  Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.
GvVanityCase,bPositionTrackingPLC,1,FALSE,Unused,FAB_2109,09,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Position Tracking PLC - Check mechanical linkages, wiring"")",Check encoder cables.  Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.
GvSys,bRssEStopActive,1,FALSE,Unused,FAB_010,10,High,FAB2900,LSS ESTOP Active,,,The L-Stop bus is active.  Press Reset on the FAB.  Cycle the L-Stop button on the front panel of the FAB and press Reset.
GvVanityCase,bUndervoltage,1,FALSE,Unused,FAB_2110,10,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive Undervoltage - Check drive power supply"")",Check power supply.  Check wiring to Drive.  Check cables to motor.
GvSys,bRssEStopHardware,1,FALSE,Unused,FAB_011,11,High,FAB2900,"LSS ESTOP Input Discrepancy - Check Safety Relays, Wiring",,,Check the wiring to the L-Stop button on the front panel of the SSC.  Verify the function of the L-Stop button.
GvVanityCase,bOvervoltage,1,FALSE,Unused,FAB_2111,11,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive Overvoltage -  Check drive power supply"")",Check power supply.  Check wiring to Drive.  Check cables to motor.
GvSys,bRssComLoss,1,FALSE,Unused,FAB_012,12,High,FAB2900,"LSS Heartbeat Lost - Verify Ethernet Adapter Connection, FAB Switch, and LSS Status",,,Check the network connection to the EL6652 card on the PLC.  Verify all network cables are securely plugged in.  Verify the RSS/LSS is functioning properly.
GvVanityCase,bSTO,1,FALSE,Unused,FAB_2112,12,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""STOs Active - Verify LSTOP reset, STOs have been released"")",Check STO wiring to PLC (EL2904).  Cycle the L-Stop button and press Reset.
GvVanityCase,bShortCircuit,1,FALSE,Unused,FAB_2113,13,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive Short Circuit - Check wiring"")",Unplug cables to motor and see if the fault clears.  Unplug connectors to drive one at a time (except power input) and see if the fault clears.  Check wires/cables for isolated problem.
GvVanityCase,bOvertemp,1,FALSE,Unused,FAB_2114,14,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive Overtemp - Check FAB A/C unit"")","Make sure the A/C unit is functioning properly.  If no other drives have an overtemp error, check the current in the Debug window to see if it is excessive (magnitude consistently over 1000 when moving, over 500 when not moving).  If the current is high, check the mechanism for obstructions."
GvVanityCase,bOverspeed,1,FALSE,Unused,FAB_2115,15,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive Overspeed"")",Power cycle the FAB.
GvVanityCase,bCPU_Exception,1,FALSE,Unused,FAB_2116,16,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive CPU exception"")",Power cycle the FAB.
GvVanityCase,bMotorStuck,1,FALSE,Unused,FAB_1117,17,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Motor Stuck - Check function is not mechanically jammed, obstructed or impinged"")",Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.  Make sure the brake is released (use the brake release tool if necessary).
GvVanityCase,bFailedToStart,1,FALSE,Unused,FAB_2119,19,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive Failed to Start - Check STOs, motor connections, cabling."")",Primarily a power problem.  Check STOs.  Check breakers to drive.  Check power cables to drive.  Check power cables to motor.
GvVanityCase,bExternalInhibit,1,FALSE,Unused,FAB_2120,20,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive External Inhibit active"")",Power cycle the FAB.
GvVanityCase,bDatabaseError,1,FALSE,Unused,FAB_2121,21,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive Database Error"")",Power cycle the FAB.
GvVanityCase,bDriveComLoss,1,FALSE,Unused,FAB_2122,22,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Drive Communication Fault - Check Ethernet connection in FAB"")",Check drive ethernet cables.  Cycle power on drive. 
GvVanityCase,bGeneralHomingError,1,FALSE,Unused,FAB_2123,23,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""General Homing Fault - Re-Home required"")",Re-home the motor.  Attempt to jog the motor to the positive and negative extremes of travel.  Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.  Make sure the brake is released (use the brake release tool if necessary).
GvVanityCase,bHomingCountsHigh,1,FALSE,Unused,FAB_2124,24,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Homing Counts High"")","Re-home the motor.  If it still fails, Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.  Make sure the brake is released (use the brake release tool if necessary).  Check the mechanism for damage or obstruction.    If the mechanism appears OK, attempt to jog the motor to the positive and negative extremes of travel.  "
GvVanityCase,bHomingCountsLow,1,FALSE,Unused,FAB_2125,25,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Homing Counts Low"")","Re-home the motor.  If it still fails, Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.  Make sure the brake is released (use the brake release tool if necessary).  Check the mechanism for damage or obstruction.    If the mechanism appears OK, attempt to jog the motor to the positive and negative extremes of travel.  "
GvVanityCase,bHomingHardStopPos,1,FALSE,Unused,FAB_2126,26,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Homing Positive Hardstop"")","Re-home the motor.  If it still fails, Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.  Make sure the brake is released (use the brake release tool if necessary).  Check the mechanism for damage or obstruction.    If the mechanism appears OK, attempt to jog the motor to the positive and negative extremes of travel.  "
GvVanityCase,bHomingHardStopNeg,1,FALSE,Unused,FAB_2127,27,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Homing Negative Hardstop"")","Re-home the motor.  If it still fails, Place figure in inactive.  Try to physically move the axis and see if position changes in diagnostics screen on HMI.  Make sure the brake is released (use the brake release tool if necessary).  Check the mechanism for damage or obstruction.    If the mechanism appears OK, attempt to jog the motor to the positive and negative extremes of travel.  "
GvVanityCase,bHomingCurrent,1,FALSE,Unused,FAB_2128,28,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Homing Current"")","Re-home the motor. Examine the current on the Diagnostics page of the HMI while homing.  Verify that the magnitude of the current remains low (less than 1000) during most homing motion and does not exxceed 1500 at any point.  If the current is high, check the mechanism for obstructions."
GvVanityCase,bLoadCellRange,1,FALSE,Unused,FAB_2129,29,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Load Cell Out Of Range"")",Power cycle the FAB.
GvVanityCase,bDriveComSyncLoss,1,FALSE,Unused,FAB_2130,30,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""EtherCAT SYNC group for this drive is not OK. Check for drive faults within the group"")",Power cycle the FAB.
GvVanityCase,bHomingTimeout,1,FALSE,Unused,FAB_2131,31,Medium,FAB2900,,Expression,"concat({[.]../../stHmi/sStsFigureName},"" "",{[.]../../stHmi/stLid/sStsName},"" "",""Homing Timeout - Check sensor mechanism"")","Re-home the motor. If failure persists, check sensor for functionality. Verify sensor flag integrity. Verify sensor distance away from sensor flag."
GvVanityCase,bCollision,1,FALSE,Unused,FAB_298,98,Critical,FAB2900,,Expression,"concat({[.]../stHmi/sStsFigureName},"" "",""Frame Collision Detected - Check sensor, mechanism"")","Verify that sensor is functioning properly. The light on the sensor should be illuminated when flagging the plate. Engage Bypass, Reset Faults, Jog Up/Down Axis Up until Collision Check is Green"
GvSys,bAlarmResetExceeded,1,FALSE,Unused,FAB_099,99,Low,FAB2900,One or more active system alarms have exceeded reset limit. Mode cycle required,,,Turn the FAB OFF.  Return it to the previous condition.
GvVanityCase,bAlarmResetExceeded,1,FALSE,Unused,FAB_299,99,Low,FAB2900,,Expression,"concat({[.]../stHmi/sStsFigureName},"" "",""One or more active figure alarms have exceeded reset limit. Mode cycle required"")",Turn the FAB OFF.  Return it to the previous condition.
